seqname	V	D	J	vlen	vdilen	dlen	djilen	jlen
S86	IGHV3-48*04	IGHD3-3*02	IGHJ3*01	294	10	31	0	50
S87	IGHV7-4-1*01	IGHD6-6*01	IGHJ3*02	293	3	13	9	37
S88	IGHV2-5*02	IGHD3-3*01	IGHJ6*02	300	7	27	0	59
S89	IGHV1-58*01	IGHD2-8*02	IGHJ2*01	294	7	28	5	51
S90	IGHV3-7*03	IGHD2-15*01	IGHJ1*01	293	0	17	2	49
S91	IGHV3-43*01	IGHD5-18*01	IGHJ2*01	292	2	8	5	45
S92	IGHV1-2*02	IGHD3-10*02	IGHJ5*02	293	8	8	3	46
S93	IGHV4-59*08	IGHD1-26*01	IGHJ3*02	293	2	14	0	37
S94	IGHV2-26*01	IGHD5-18*01	IGHJ5*02	300	4	12	1	47
S95	IGHV5-51*03	IGHD1-7*01	IGHJ3*02	294	13	17	6	37
S96	IGHV1-45*02	IGHD1-20*01	IGHJ2*01	293	13	14	17	51
S97	IGHV1-3*02	IGHD1-7*01	IGHJ4*03	296	2	7	6	35
S98	IGHV3-33*06	IGHD5-5*01	IGHJ2*01	295	3	15	4	44
S99	IGHV3-49*04	IGHD1-26*01	IGHJ5*01	301	0	18	2	49
S100	IGHV1-45*01	IGHD3-16*02	IGHJ6*02	293	8	24	3	56
S101	IGHV3-9*03	IGHD2-21*02	IGHJ4*01	297	12	13	0	42
S102	IGHV3-11*05	IGHD3-3*01	IGHJ6*02	295	8	16	0	53
S103	IGHV3-64*01	IGHD2-2*02	IGHJ5*01	296	5	22	4	40
S104	IGHV4-31*01	IGHD2-8*01	IGHJ1*01	298	11	22	4	50
S105	IGHV4-34*10	IGHD1-1*01	IGHJ5*01	292	5	0	10	45
S106	IGHV3-21*02	IGHD3-9*01	IGHJ2*01	296	7	7	12	51
S107	IGHV4-61*08	IGHD5-18*01	IGHJ3*01	299	5	18	6	48
S108	IGHV4-39*01	IGHD1-26*01	IGHJ2*01	296	0	13	3	40
S109	IGHV4-59*04	IGHD2-21*01	IGHJ2*01	286	6	13	1	40
S110	IGHV3-7*03	IGHD7-27*01	IGHJ3*01	296	0	4	6	43
S111	IGHV4-30-2*05	IGHD3-16*01	IGHJ4*01	298	13	31	8	38
S112	IGHV1-8*01	IGHD3-3*01	IGHJ4*01	294	6	23	2	48
S113	IGHV4-30-2*03	IGHD1-1*01	IGHJ5*02	295	6	11	1	51
S114	IGHV3-73*02	IGHD5-12*01	IGHJ1*01	301	19	7	5	44
S115	IGHV3-73*02	IGHD3-22*01	IGHJ1*01	302	5	26	0	52
S116	IGHV4-59*04	IGHD3-16*01	IGHJ5*01	288	7	32	9	49
S117	IGHV3-20*01	IGHD1-26*01	IGHJ5*01	296	6	12	3	38
S118	IGHV3-30-3*03	IGHD3-10*02	IGHJ2*01	294	7	28	10	52
S119	IGHV3-21*03	IGHD1-26*01	IGHJ3*02	296	4	20	24	41
S120	IGHV3-66*03	IGHD6-6*01	IGHJ2*01	293	0	8	6	48
S121	IGHV3-43*01	IGHD2-8*01	IGHJ5*02	298	0	22	7	43
S122	IGHV1-69*12	IGHD2-21*02	IGHJ4*03	296	0	16	5	47
S123	IGHV1-8*02	IGHD4-17*01	IGHJ1*01	296	4	0	0	46
S124	IGHV3-64*05	IGHD3-16*01	IGHJ3*01	295	0	34	5	48
S125	IGHV6-1*02	IGHD1-20*01	IGHJ5*01	302	0	5	1	47
S126	IGHV4-59*02	IGHD2-2*01	IGHJ1*01	291	7	29	4	36
S127	IGHV3-48*03	IGHD1-20*01	IGHJ5*02	294	0	15	0	43
S128	IGHV3-20*01	IGHD2-8*02	IGHJ4*01	294	7	20	0	40
S129	IGHV4-30-2*02	IGHD3-9*01	IGHJ5*01	294	2	15	0	50
S130	IGHV3-13*04	IGHD3-16*01	IGHJ1*01	291	3	32	13	49
S131	IGHV1-3*02	IGHD1-1*01	IGHJ1*01	295	12	4	6	50
S132	IGHV3-30-3*01	IGHD3-9*01	IGHJ2*01	293	7	23	0	53
S133	IGHV4-59*02	IGHD1-1*01	IGHJ1*01	288	11	2	0	42
S134	IGHV2-70*06	IGHD3-3*01	IGHJ1*01	290	7	21	7	48
S135	IGHV1-45*02	IGHD6-6*01	IGHJ6*03	293	9	10	6	45
S136	IGHV1-58*01	IGHD2-15*01	IGHJ1*01	294	9	27	7	51
S137	IGHV3-74*02	IGHD3-9*01	IGHJ1*01	291	3	11	4	52
S138	IGHV4-28*04	IGHD3-10*02	IGHJ2*01	294	0	29	7	49
S139	IGHV4-61*08	IGHD3-3*01	IGHJ3*02	299	0	26	0	45
S140	IGHV4-34*07	IGHD2-8*02	IGHJ4*03	284	0	22	1	42
S141	IGHV1-3*01	IGHD1-20*01	IGHJ3*02	290	2	2	1	48
S142	IGHV3-49*02	IGHD6-19*01	IGHJ4*01	300	8	19	0	46
S143	IGHV3-23*01	IGHD5-5*01	IGHJ4*03	294	0	0	0	46
S144	IGHV2-26*01	IGHD1-26*01	IGHJ4*02	301	0	13	0	44
S145	IGHV4-30-2*06	IGHD6-25*01	IGHJ1*01	299	10	14	4	52
S146	IGHV2-70*06	IGHD6-13*01	IGHJ3*02	290	0	13	3	40
S147	IGHV3-53*04	IGHD3-16*01	IGHJ2*01	293	0	36	3	47
S148	IGHV3-73*02	IGHD3-16*02	IGHJ5*02	302	7	36	3	49
S149	IGHV3-13*04	IGHD1-26*01	IGHJ3*02	290	7	4	14	49
S150	IGHV4-30-4*02	IGHD4-17*01	IGHJ5*02	298	0	11	3	40
S151	IGHV4-28*02	IGHD4-17*01	IGHJ5*01	296	5	10	2	51
S152	IGHV6-1*01	IGHD2-21*01	IGHJ3*02	302	8	17	9	49
S153	IGHV4-59*01	IGHD6-6*01	IGHJ4*02	292	8	12	5	32
S154	IGHV4-28*07	IGHD3-9*01	IGHJ6*03	296	0	23	8	60
S155	IGHV4-39*01	IGHD6-25*01	IGHJ6*04	295	6	0	4	56
S156	IGHV1-3*02	IGHD7-27*01	IGHJ5*01	295	15	0	0	36
S157	IGHV3-53*04	IGHD3-10*02	IGHJ4*01	293	0	22	4	48
S158	IGHV4-59*06	IGHD4-4*01	IGHJ1*01	288	12	13	5	46
S159	IGHV3-73*01	IGHD5-12*01	IGHJ1*01	301	0	14	0	40
S160	IGHV3-53*01	IGHD2-15*01	IGHJ3*02	293	1	21	0	43
S161	IGHV3-15*05	IGHD4-17*01	IGHJ3*01	300	7	8	0	46
S162	IGHV4-31*01	IGHD3-16*02	IGHJ5*02	298	11	11	3	50
S163	IGHV4-31*04	IGHD6-6*01	IGHJ5*01	294	12	9	4	51
S164	IGHV1-24*01	IGHD7-27*01	IGHJ1*01	294	0	4	2	52
S165	IGHV2-70*01	IGHD2-21*02	IGHJ3*01	301	13	11	0	42
S166	IGHV3-30*02	IGHD5-5*01	IGHJ5*01	296	14	15	2	49
S167	IGHV3-21*04	IGHD2-8*01	IGHJ1*01	295	11	29	0	47
S168	IGHV2-26*01	IGHD7-27*01	IGHJ5*02	300	3	6	8	35
S169	IGHV3-74*02	IGHD3-3*02	IGHJ5*02	294	8	19	0	43
S170	IGHV3-13*03	IGHD1-26*01	IGHJ3*01	290	0	9	7	43
S171	IGHV3-23*03	IGHD6-25*01	IGHJ1*01	296	4	13	8	43
S172	IGHV3-23*04	IGHD3-3*01	IGHJ1*01	296	6	25	5	50
S173	IGHV3-74*01	IGHD3-22*01	IGHJ6*04	294	0	16	9	63
S174	IGHV4-61*04	IGHD4-4*01	IGHJ1*01	286	9	14	9	52
S175	IGHV3-66*03	IGHD6-13*01	IGHJ5*02	290	7	13	4	47
S176	IGHV3-30*06	IGHD1-7*01	IGHJ6*01	296	0	3	0	56
S177	IGHV2-26*01	IGHD1-1*01	IGHJ3*02	300	15	11	1	46
S178	IGHV3-9*02	IGHD1-26*01	IGHJ5*02	297	7	11	10	51
S179	IGHV3-13*05	IGHD7-27*01	IGHJ4*01	290	0	2	16	44
S180	IGHV4-34*07	IGHD5-18*01	IGHJ4*02	284	7	3	0	43
S181	IGHV7-4-1*01	IGHD2-21*01	IGHJ6*04	294	7	13	2	60
S182	IGHV1-2*02	IGHD2-2*02	IGHJ1*01	296	0	24	7	52
S183	IGHV3-30-3*02	IGHD6-6*01	IGHJ2*01	296	3	12	8	51
S184	IGHV1-46*03	IGHD1-7*01	IGHJ3*02	296	3	4	3	46
S185	IGHV1-2*03	IGHD5-12*01	IGHJ5*01	293	0	6	0	50
S186	IGHV3-43*01	IGHD1-7*01	IGHJ4*03	298	0	11	0	43
S187	IGHV4-28*04	IGHD4-17*01	IGHJ3*02	293	14	6	0	42
S188	IGHV3-30-3*02	IGHD6-25*01	IGHJ5*01	293	7	13	9	45
S189	IGHV3-74*03	IGHD4-4*01	IGHJ1*01	296	3	9	5	48
S190	IGHV1-3*02	IGHD3-10*02	IGHJ6*04	295	0	16	8	51
S191	IGHV1-2*04	IGHD1-26*01	IGHJ1*01	296	5	20	0	52
S192	IGHV3-30-3*01	IGHD3-10*01	IGHJ3*01	291	12	19	4	38
S193	IGHV2-5*04	IGHD3-10*01	IGHJ6*04	292	7	26	0	48
S194	IGHV4-30-4*01	IGHD2-8*01	IGHJ3*01	298	0	29	1	45
S195	IGHV3-33*05	IGHD5-12*01	IGHJ1*01	296	2	16	1	52
S196	IGHV3-64*03	IGHD4-4*01	IGHJ2*01	295	4	5	17	46
S197	IGHV4-30-2*06	IGHD6-25*01	IGHJ4*02	298	13	15	6	47
S198	IGHV3-30*16	IGHD5-5*01	IGHJ4*02	293	15	11	9	36
S199	IGHV3-21*03	IGHD3-16*02	IGHJ3*01	294	13	37	0	50
S200	IGHV1-45*01	IGHD6-13*01	IGHJ4*01	295	0	10	7	43
S201	IGHV1-45*01	IGHD1-1*01	IGHJ5*02	295	9	0	4	50
S202	IGHV6-1*02	IGHD4-4*01	IGHJ5*01	305	2	12	9	51
S203	IGHV3-73*01	IGHD2-8*01	IGHJ5*01	302	11	27	0	45
S204	IGHV3-7*03	IGHD3-16*01	IGHJ5*02	295	7	26	3	51
S205	IGHV1-8*02	IGHD2-15*01	IGHJ5*01	296	5	29	3	43
S206	IGHV3-7*02	IGHD3-9*01	IGHJ1*01	294	5	31	0	52
S207	IGHV3-43*02	IGHD3-9*01	IGHJ6*01	298	0	17	3	52
S208	IGHV1-3*02	IGHD2-21*02	IGHJ4*02	296	4	26	9	44
S209	IGHV4-30-4*02	IGHD1-20*01	IGHJ2*01	299	0	16	9	46
S210	IGHV4-38-2*02	IGHD2-8*01	IGHJ6*02	295	0	25	12	58
S211	IGHV4-39*01	IGHD6-19*01	IGHJ1*01	299	3	0	4	46
S212	IGHV4-39*06	IGHD3-3*01	IGHJ5*02	298	0	26	6	46
S213	IGHV4-39*07	IGHD2-2*01	IGHJ6*03	298	5	17	0	58
S214	IGHV4-39*01	IGHD2-21*01	IGHJ5*02	294	10	13	3	44
S215	IGHV3-20*01	IGHD3-22*01	IGHJ6*01	296	4	24	0	61
S216	IGHV3-13*05	IGHD5-18*01	IGHJ2*01	293	8	17	10	48
S217	IGHV4-59*02	IGHD5-18*01	IGHJ3*02	290	4	8	0	44
S218	IGHV4-61*01	IGHD3-3*02	IGHJ2*01	293	1	22	6	51
S219	IGHV3-74*02	IGHD1-1*01	IGHJ6*03	293	15	0	0	55
S220	IGHV4-30-2*02	IGHD3-3*01	IGHJ4*03	293	6	22	4	33
S221	IGHV2-26*01	IGHD4-17*01	IGHJ6*02	301	9	15	3	62
S222	IGHV1-2*01	IGHD3-16*01	IGHJ6*01	293	0	34	0	58
S223	IGHV4-30-2*01	IGHD4-4*01	IGHJ2*01	299	7	5	4	43
S224	IGHV3-23*02	IGHD2-15*01	IGHJ4*01	296	19	27	0	46
S225	IGHV4-30-4*01	IGHD7-27*01	IGHJ6*02	294	2	0	1	60
S226	IGHV2-26*01	IGHD3-10*02	IGHJ6*01	301	0	21	3	63
S227	IGHV5-10-1*01	IGHD3-3*02	IGHJ5*01	293	4	22	6	51
S228	IGHV1-2*05	IGHD3-16*01	IGHJ4*02	290	5	27	10	44
S229	IGHV2-5*08	IGHD3-22*01	IGHJ4*03	301	1	20	13	44
S230	IGHV4-34*08	IGHD3-22*01	IGHJ5*01	288	6	28	7	50
S231	IGHV3-20*01	IGHD5-18*01	IGHJ1*01	296	7	18	5	47
S232	IGHV6-1*02	IGHD3-22*01	IGHJ3*02	303	9	14	6	44
S233	IGHV5-51*01	IGHD3-3*01	IGHJ5*02	296	4	24	10	51
S234	IGHV6-1*02	IGHD5-12*01	IGHJ2*01	305	2	17	4	45
S235	IGHV3-13*02	IGHD6-13*01	IGHJ6*02	292	4	14	0	56
S236	IGHV5-10-1*04	IGHD1-26*01	IGHJ5*02	294	4	11	2	44
S237	IGHV3-13*01	IGHD5-18*01	IGHJ2*01	292	7	12	8	48
S238	IGHV1-46*03	IGHD3-10*02	IGHJ4*02	293	0	21	0	41
S239	IGHV4-61*02	IGHD3-9*01	IGHJ2*01	297	0	28	0	42
S240	IGHV3-20*01	IGHD6-25*01	IGHJ6*03	296	4	2	6	49
S241	IGHV1-58*02	IGHD2-2*02	IGHJ4*03	295	5	17	0	38
S242	IGHV4-59*08	IGHD1-7*01	IGHJ2*01	291	0	12	1	48
S243	IGHV3-73*02	IGHD6-19*01	IGHJ6*02	300	6	19	2	57
S244	IGHV3-30-3*02	IGHD3-3*02	IGHJ4*02	295	8	21	0	46
S245	IGHV3-21*02	IGHD2-8*01	IGHJ2*01	296	9	28	0	52
S246	IGHV3-74*03	IGHD7-27*01	IGHJ5*02	292	0	0	9	48
S247	IGHV3-9*02	IGHD2-2*01	IGHJ3*01	298	5	18	4	42
S248	IGHV7-4-1*04	IGHD6-25*01	IGHJ4*01	296	0	12	3	35
S249	IGHV4-28*06	IGHD2-2*02	IGHJ4*02	296	0	19	0	43
S250	IGHV3-73*01	IGHD1-7*01	IGHJ4*01	302	2	0	4	41
S251	IGHV3-15*07	IGHD2-2*01	IGHJ3*02	302	0	28	4	48
S252	IGHV1-3*01	IGHD2-2*03	IGHJ3*01	296	0	24	0	47
S253	IGHV5-10-1*03	IGHD4-17*01	IGHJ6*01	294	0	0	10	57
S254	IGHV1-18*03	IGHD1-26*01	IGHJ1*01	295	0	15	0	39
S255	IGHV1-45*02	IGHD1-20*01	IGHJ5*02	293	6	0	1	46
S256	IGHV3-20*01	IGHD5-12*01	IGHJ2*01	296	0	22	2	47
S257	IGHV3-43*01	IGHD1-26*01	IGHJ2*01	298	0	17	23	53
S258	IGHV3-33*01	IGHD1-20*01	IGHJ4*03	296	7	7	0	39
S259	IGHV3-74*02	IGHD5-18*01	IGHJ6*04	294	4	16	5	57
S260	IGHV1-45*02	IGHD2-8*02	IGHJ3*01	295	0	26	10	45
S261	IGHV4-4*02	IGHD2-2*03	IGHJ5*02	296	2	28	6	47
S262	IGHV3-13*01	IGHD1-7*01	IGHJ3*02	288	0	14	9	47
S263	IGHV3-23*05	IGHD4-17*01	IGHJ1*01	294	8	9	0	44
S264	IGHV1-69*08	IGHD1-20*01	IGHJ4*02	295	0	0	5	46
S265	IGHV2-5*09	IGHD3-3*01	IGHJ3*01	300	0	10	0	48
S266	IGHV3-23*01	IGHD3-9*01	IGHJ4*03	295	8	25	0	48
S267	IGHV3-9*02	IGHD6-6*01	IGHJ1*01	298	4	12	3	50
S268	IGHV1-45*01	IGHD5-5*01	IGHJ3*02	295	1	10	0	43
S269	IGHV3-48*04	IGHD1-20*01	IGHJ4*01	296	1	9	0	43
S270	IGHV6-1*01	IGHD3-22*01	IGHJ1*01	305	7	19	5	46
S271	IGHV1-46*03	IGHD6-6*01	IGHJ2*01	296	8	10	1	49
S272	IGHV5-51*03	IGHD2-2*03	IGHJ3*01	293	5	25	10	49
S273	IGHV4-59*03	IGHD1-7*01	IGHJ2*01	288	4	1	7	49
S274	IGHV2-5*04	IGHD6-19*01	IGHJ1*01	293	0	21	0	50
S275	IGHV1-69*06	IGHD2-8*01	IGHJ2*01	296	2	28	3	47
S276	IGHV1-46*03	IGHD1-26*01	IGHJ5*02	294	1	12	0	45
S277	IGHV1-46*02	IGHD5-12*01	IGHJ3*02	296	0	9	4	37
S278	IGHV1-58*01	IGHD5-12*01	IGHJ1*01	294	2	15	0	47
S279	IGHV4-61*02	IGHD4-17*01	IGHJ5*02	299	4	1	0	51
S280	IGHV3-43*02	IGHD7-27*01	IGHJ4*02	298	0	0	1	44
S281	IGHV1-8*01	IGHD3-16*01	IGHJ4*01	294	4	31	5	36
S282	IGHV3-9*01	IGHD6-19*01	IGHJ3*01	296	9	7	0	49
S283	IGHV3-15*04	IGHD1-20*01	IGHJ6*01	302	3	5	3	63
S284	IGHV3-64*04	IGHD3-9*01	IGHJ4*02	296	12	25	4	48
S285	IGHV3-7*02	IGHD5-5*01	IGHJ3*01	293	7	12	3	49
S286	IGHV3-11*04	IGHD5-18*01	IGHJ6*03	296	7	11	8	62
S287	IGHV3-7*01	IGHD6-6*01	IGHJ3*02	296	0	9	6	38
S288	IGHV4-30-4*07	IGHD6-25*01	IGHJ5*02	299	0	11	9	45
S289	IGHV3-30-3*02	IGHD5-5*01	IGHJ6*02	295	0	17	0	51
S290	IGHV4-59*07	IGHD3-3*02	IGHJ2*01	291	2	21	8	51
S291	IGHV2-70*10	IGHD3-10*01	IGHJ3*02	300	0	23	0	50
S292	IGHV4-59*02	IGHD2-2*03	IGHJ6*03	293	3	27	3	61
S293	IGHV5-51*03	IGHD6-25*01	IGHJ2*01	291	0	17	0	53
S294	IGHV5-51*02	IGHD2-8*02	IGHJ5*02	291	7	22	1	49
S295	IGHV3-21*03	IGHD4-17*01	IGHJ4*01	294	8	7	0	46
S296	IGHV3-30*18	IGHD5-12*01	IGHJ5*02	296	25	13	3	51
S297	IGHV4-61*02	IGHD2-15*01	IGHJ4*01	298	9	28	17	42
S298	IGHV1-69*12	IGHD6-13*01	IGHJ6*02	295	0	14	1	53
S299	IGHV4-39*06	IGHD1-7*01	IGHJ4*01	297	12	17	14	48
S300	IGHV1-18*01	IGHD2-2*02	IGHJ4*01	296	8	26	4	48
S301	IGHV4-39*07	IGHD2-21*01	IGHJ2*01	299	0	28	15	49
S302	IGHV1-8*02	IGHD2-8*01	IGHJ2*01	296	7	27	0	52
S303	IGHV1-8*01	IGHD6-13*01	IGHJ4*03	296	0	8	17	40
S304	IGHV6-1*01	IGHD3-22*01	IGHJ6*03	304	6	25	0	61
S305	IGHV3-48*03	IGHD3-3*02	IGHJ5*01	295	6	20	15	49
S306	IGHV3-33*06	IGHD3-16*01	IGHJ2*01	292	1	32	0	45
S307	IGHV7-4-1*02	IGHD1-20*01	IGHJ1*01	295	3	12	0	39
S308	IGHV1-24*01	IGHD1-26*01	IGHJ5*02	295	7	16	13	51
S309	IGHV3-30-3*02	IGHD1-1*01	IGHJ1*01	295	7	8	0	48
S310	IGHV3-49*05	IGHD2-15*01	IGHJ4*02	301	0	29	0	43
S311	IGHV1-3*02	IGHD2-15*01	IGHJ2*01	295	4	26	0	48
S312	IGHV4-61*02	IGHD6-6*01	IGHJ2*01	297	12	14	2	48
S313	IGHV3-23*01	IGHD2-15*01	IGHJ4*03	296	18	29	4	47
S314	IGHV3-48*02	IGHD3-9*01	IGHJ6*01	296	3	12	7	61
S315	IGHV7-4-1*04	IGHD2-21*01	IGHJ3*02	292	2	17	6	50
S316	IGHV3-11*01	IGHD4-17*01	IGHJ2*01	294	0	9	0	46
S317	IGHV1-58*01	IGHD5-18*01	IGHJ1*01	294	9	18	0	43
S318	IGHV1-45*02	IGHD4-17*01	IGHJ1*01	296	15	16	10	48
S319	IGHV3-21*04	IGHD6-6*01	IGHJ3*01	294	0	14	3	50
S320	IGHV3-43*01	IGHD6-13*01	IGHJ3*01	298	12	16	3	44
S321	IGHV1-58*01	IGHD5-5*01	IGHJ6*01	295	2	9	3	61
S322	IGHV1-45*01	IGHD6-6*01	IGHJ6*03	291	8	8	3	53
S323	IGHV4-38-2*02	IGHD5-5*01	IGHJ1*01	294	13	16	3	50
S324	IGHV3-43*01	IGHD3-22*01	IGHJ6*02	295	13	13	7	62
S325	IGHV3-73*02	IGHD6-19*01	IGHJ2*01	296	9	19	0	52
S326	IGHV1-58*01	IGHD3-10*02	IGHJ3*02	296	4	18	4	42
S327	IGHV1-45*01	IGHD4-17*01	IGHJ6*02	295	7	10	0	57
S328	IGHV4-61*03	IGHD1-1*01	IGHJ1*01	298	0	9	0	45
S329	IGHV3-21*02	IGHD4-4*01	IGHJ1*01	296	7	0	0	52
